1.,"Corporate Identity Number (CIN) of
the Listed Entity",L23209KA1988GOI008959
2.,Name of the Listed Entity,Mangalore Refinery and Petrochemicals Limited (MRPL)
3.,Year of incorporation,1988
4.,Registered office address,"Mudapadav, Kuthethur P.O. via Katipalla,
Mangalore, Karnataka, India - 575030"
5.,Corporate address,"Mudapadav, Kuthethur P.O. via Katipalla,
Mangalore, Karnataka, India - 575 030"
6.,E-mail,investor@mrpl.co.in
7.,Telephone,0824-2270400
8.,Website,www.mrpl.co.in
9.,"Financial year for which reporting is
being done",FY 2024-25
10.,"Name of the Stock Exchange(s) where
shares are listed:","National Stock Exchange of India Limited (NSE) and
BSE Limited (BSE)"
11.,Paid-up Capital,"INR 1,753 Crore"
12.,"Name and contact details (telephone, email
address) of the person who may be
contacted in case of any queries on the
BRSR report:","Name: Shri M.S. Sudarshan
Email: sustainabilityreporting@mrpl.co.in"
13.,"Reporting boundary - Are the disclosures
under this report made on a standalone
basis (i.e. only for the entity) or on a
consolidated basis (i.e. for the entity and all
the entities which form a part of its
consolidated financial statements, taken
together).","The disclosures made under this report are made on
a standalone basis for MRPL"
14.,Name of assurance provider,"No assurance was conducted for FY 2024-25 by any
external party"
15.,Type of assurance obtained,Not applicable
