col,Standalone,col_2,Consolidated,col_3
,"Year ended 31st
March, 2025","Year ended 31st
March, 2024","Year ended 31st
March, 2025","Year ended 31st
March, 2024"
PROFIT BEFORE TAX,113.26,"5,521.41",118.89,"5,522.54"
Less: Current Tax,3.95,964.21,3.95,964.21
Deferred Tax,58.73,961.27,58.73,961.27
PROFIT FOR THE YEAR,50.58,"3,595.93",56.21,"3,597.06"
Add: Other Comprehensive Income,(19.07),(5.02),(19.86),(4.99)
"TOTAL COMPREHENSIVE
INCOME FOR THE YEAR",31.51,"3,590.91",36.35,"3,592.07"
"Less : Total Comprehensive Income
Attributable to Non-Controlling Interest",-,-,-,-
"TOTAL COMPREHENSIVE INCOME
ATTRIBUTABLE TO OWNERS OF
THE COMPANY",31.51,"3,590.91",36.35,"3,592.07"
"Add: Opening Balance in Profit
and Loss Account","12,366.51","8,950.86","12,397.53","8,980.72"
SUB-TOTAL,"12,398.021","12,541.77","12,433.88","12,572.79"
LESS: APPROPRIATION,,,,
Payment of Dividend on Equity Shares,350.52,175.26,350.52,175.26
"CLOSING BALANCE (INCLUDING
OTHER COMPREHENSIVE INCOME)","12,047.50","12,366.51","12,083.36","12,397.53"
