8.,"Details of the highest authority
responsible for implementation and
oversight of the Business
Responsibility policy (ies).",col,col_2,col_3,col_4,"Shri Mundkur Shyamprasad Kamath
Managing Director & CEO",col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
9.,"Does the entity have a specified
Committee of the Board/ Director
responsible for decision making on
sustain ability related issues?
(Yes/No). If yes, provide details.",,,,,"Yes, decision making on sustainability related issues is overseen by Corporate
Social Responsibility and Sustainability Development Committee (CSR&SD).",,,,,,,,,,,,,,,,,,
10,Details of Review,,,,,,,,,,,,,,,,,,,,,,,
,"Subject for
Review","Indicate whether review was undertaken by
Director / Committee of the Board/ Any
other Committee",,,,,,,,,,"Frequency (Annually/ Half yearly/ Quarterly/ Any
other – please specify)",,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P6,P7,P8,P9,,P1,P2,P3,,P4,,P5,P6,P7,,P8,,P9
,"Performance
against above
policies and
follow up
action",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"On
requir
ement
basis","On
requir
ement
basis","Quarte
rly",,"On
requir
ement
basis",,"Quarte
rly","On
requir
ement
basis","On
requir
ement
basis",,"On
requir
ement
basis",,"Quart
erly &
Half
yearly
by
Mana
geme
nt"
,"Compliance
with statutory
requirements
of relevance
to the
principles,
and
rectification
of any non-
compliances",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,"On
requir
ement
basis","On
requir
ement
basis","Quarte
rly",,"On
requir
ement
basis",,"Quarte
rly","Quarte
rly","On
requir
ement
basis",,"On
requir
ement
basis",,"Quart
erly &
Half
yearly
by
Mana
geme
nt"
"11
12.","Has the entity carried out independent
assessment/ evaluation of the working of
its policies by an external agency?
(Yes/No). If yes, provide name of the
agency.",,,,,,P1,,P2,,P3,,P4,,P5,,P6,,P7,,P8,,P9,
,,,,,,,-,,-,,-,,-,,-,,"Yes
Bureau
Veritas",,-,,-,,"Yes
Bureau
Veritas",
,"If answer to question (1) above is “No” i.e. not all Principles are covered by a policy, reasons to be stated:",,,,,,,,,,,,,,,,,,,,,,,
,Questions,,,,,,P1,,P2,,P3,,P4,,P5,,P6,,P7,,P8,,P9,
,"The entity does not consider the
Principles material to its business
(Yes/No)",,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
,"The entity is not at a stage where it is in a
position to formulate and implement the
policies on specified principles (Yes/No)",,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
,"The entity does not have the financial
or/human and technical resources
available for the task (Yes/No)",,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
,"It is planned to be done in the next
financialyear (Yes/No)",,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
,Any other reason (please specify),,,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
