Parameter,Metrics,FY 2024-25,FY 2023-24*
"Concentration of
Purchases",a. Purchases from trading houses as % of total purchases,46.26%,34.63%
,b. Number of trading houses where purchases are made from,9,4
,"c. Purchases from top 10 trading houses as % of total purchases
from trading houses",100%,100%
"Concentration of
Sales",a. Sales to dealers / distributors as % of total sales,3.09%,4.62%
,b. Number of dealers /distributors to whom sales are made,195,123
,"c. Sales to top 10 dealers/ distributors as % of total sales to
dealers /distributors",44.49%,60.09%
Share of RPTs in,a. Purchases (Purchases with related parties / Total Purchases),15.67%,18.48%
,b. Sales (Sales to related parties / Total Sales),30.82%,34.37%
,"c. Loans & advances (Loans & advances given to related
parties / Total loans & advances)",0.06%,0.05%
,"d. Investments (Investments in related parties / Total
Investments made)",99.90%,99.89%
