Category,FY 2024-25 (Current Financial Year),col,col_2,col_3,col_4,FY 2023-24 (Previous Financial Year),col_5,col_6,col_7,col_8
,Total,"On Health and
Safety Measures",,"On Skill
upgradation",,"Total
(D)","On Health and
Safety Measures",,"On Skill
upgradation",
,(A),No. (B),% (B/A),No. (C ),% (C/A),,No. (E),% (E/D),No. (F),% (F/D)
,,,,,Employe,es,,,,
Male,"1,092",956,87.55%,881,80.68%,"1,114",252,22.60%,279,25.04%
Female,70,60,85.71%,65,92.86%,70,15,21.40%,21,30.00%
Total,"1,162","1,016",87.44%,946,81.41%,"1,184",267,22.55%,300,25.33%
,,,,,Worker,s,,,,
Male,"1,212","1,193",98.43%,579,47.77%,"1,205",737,61.16%,450,37.30%
Female,156,148,94.87%,93,59.62%,159,52,32.70%,86,54.09%
Total,"1,368","1,341",98.03%,672,49.12%,"1,364",789,57.84%,536,39.29%
