Category,col,FY 2024-25 Current Financial Year,col_2,col_3,col_4,col_5,"FY 2023-24 Previous Financial Year
Total (D) Equal to Minimum More than Minimum
Wage Wage
No. ( E) % (E/D) No. (F) % (F/D)",col_6,col_7,col_8,col_9,col_10
,,Total (A),"Equal to Minimum
Wage",,"More than Minimum
Wage",,Total (D),"Equal to Minimum
Wage",,,,
,,,No. (B),% (B/A),No. (C),% (C/A),,No. ( E),% (E/D),No. (F),% (F/D),
,,,,,E,mployees,,,,,,
Permanent,,"1,162",0,0.00%,"1,162",100.00%,"1,184",0,0.00%,"1,184",100.00%,
Male,,"1,092",0,0.00%,"1,092",100.00%,"1,114",0,0.00%,"1,114",100.00%,
Female,,70,0,0.00%,70,100.00%,70,0,0.00%,70,100.00%,
"Other than
Permanent",,0,0,NA,0,NA,0,0,NA,0,NA,
Male,,0,0,NA,0,NA,0,0,NA,0,NA,
Female,,0,0,NA,0,NA,0,0,NA,0,NA,
,,,,,,Workers,,,,,,
Permanent,,"1,368",0,0.00%,"1,368",100.00%,"1,523",0,0.00%,"1,523",100.00%,
Male,,"1,212",0,0.00%,"1,212",100.00%,"1,364",0,0.00%,"1,364",100.00%,
Female,,156,0,0.00%,156,100.00%,159,0,0.00%,159,100.00%,
"Other than
Permanent",,"4,089",0,0.00%,"4,089",100.00%,"3,959",0,0.00%,"3,959",100.00%,
Male,,"3,786",0,0.00%,"3,786",100.00%,"3,659",0,0.00%,"3,659",100.00%,
Female,,303,0,0.00%,303,100.00%,300,0,0.00%,300,100.00%,
