col,col_2,col_3,"FY 2024-25 (Current
Financial Year)","FY 2023-24 (Previous
Financial Year)",col_4,col_5
From renewable sources (GJ),,,,,,
Total electricity consumption (A),,,"2,04,225","53,682",,
Total fuel consumption (B),,,-,-,,
Energy consumption through other sources (C),,,-,-,,
Total energy consumed from renewable sources (A+B+C) GJ,,,"2,04,225","53,682",,
From non-renewable sources (GJ),,,,,,
Total electricity consumption (D),,,"6,40,058","6,83,435",,
Total fuel consumption (E),,,"7,41,20,267","7,09,01,260",,
Energy consumption through other sources (F),,,-,-,,
Total energy consumed from non-renewable sources (D+E+F) (GJ),,,"7,47,60,325","7,15,84,695",,
Total energy consumed (A+B+C+D+E+F) (GJ),,,"7,49,64,550","7,16,38,377",,
"Energy intensity per rupee of turnover (Total energy consumed/
Revenue from operations) – GJ/ INR million",,,68.60,68.10,,
"Energy intensity per rupee of turnover adjusted for Purchasing
Power Parity (PPP) (Total energy consumed GJ/ Revenue from
operations adjusted for PPP) – GJ/ USD million",,,"1,417.28","1,554.04*",,
"Energy intensity in terms of physical output (GJ/MT of crude
consumed)",,,4.15,4.33,,
Energy intensity (optional) - -,,,,,,
