col,col_2,"FY 2024-25 (Current
Financial Year)","FY 2023-24 (Previous
Financial Year)"
Water withdrawal by source (in kilolitres),,,
(i) Surface water,,"1,42,24,168","1,35,41,904"
(ii) Groundwater,,-,-
(iii) Third party water,,-,-
(iv) Seawater / desalinated water,,"56,77,319","1,04,86,090"
(v) Others,,"52,64,327","60,12,092"
Total volume of water withdrawal (in kilolitres) (i + ii + iii + iv + v),,"2,51,65,814","3,00,40,086"
Total volume of water consumption (in kilolitres),,"2,21,27,450","2,39,76,074"
"Water intensity per rupee of turnover (Total water consumption/
Revenue from operations) – kL/ INR million",,20.25,22.79
"Water intensity per rupee of turnover adjusted for Purchasing Power
Parity (PPP) (Total water consumption / Revenue from operations
adjusted for PPP) – kL/ USD million",,418.34,520.07*
"Water intensity in terms of physical output (kL/MT of crude
consumed)",,1.23,1.45
"Water intensity (optional) – the relevant metric may be selected by
the entity",,-,-
