Particulars,col,Note No.,"Year ended March 31, 2025","Year ended March 31, 2024"
"I.
II.","Income:
Revenue from Operations
Other Income","28
29","10,92,774.89
1,757.09","10,52,232.78
1,926.08"
III.,Total income (I + II),,"10,94,531.98","10,54,158.86"
IV.,"Expenses:
Cost of Materials Consumed
Purchases of Stock-in-Trade
Changes in Inventories of Finished Goods &
Stock-in-Process
Excise Duty
Employee Benefits Expense
Finance Costs
Depreciation and Amortisation Expense
Other Expenses","30
31
32
33
34
35
36","8,96,272.06
104.99
(4,152.76)
1,45,958.66
7,002.50
10,082.51
13,470.15
24,661.23","8,07,905.76
47.77
(10,754.85)
1,48,165.97
7,720.63
11,138.45
12,572.85
22,065.25"
,Total Expenses (IV),,"10,93,399.34","9,98,861.83"
V.,Profit/ (Loss) Before Exceptional Items and Tax (III-IV),,"1,132.64","55,297.03"
VI.,Exceptional Items (Income)/Expenses (net),36.5,-,82.90
VII.,Profit/ (Loss) Before Tax (V - VI),,"1,132.64","55,214.13"
VIII.,"Tax Expenses:
(1) Current Tax
- Current year
- Earlier years
(2) Deferred Tax","37
25","146.68
(107.16)
587.32","9,647.90
(5.79)
9,612.65"
,Total Tax Expenses (VIII),,626.84,"19,254.76"
IX,Profit/ (Loss) for the year (VII - VIII),,505.80,"35,959.37"
,,,,
X,Other Comprehensive Income,,,
,"Items that will not be reclassified to Profit or Loss
(a) Remeasurement of the Defined Benefit Plans
(b) Income Tax relating to above",37,"(293.14)
102.43","(77.24)
26.99"
,Total Other Comprehensive Income (X),,(190.71),(50.25)
,,,,
XI,Total Comprehensive Income for the year (IX+X),,315.09,"35,909.12"
XII,"Earnings per Equity Share:
(1) Basic (in `)
(2) Diluted (in `)",38,"0.29
0.29","20.52
20.52"
