Particulars,"As at March 31, 2025",col,col_2,col_3,col_4,col_5,col_6,col_7
,Outstanding for following periods from due date of payment,,,,,,,
,Unbilled,Not Due,"Less than 1
Year","1 Year to 2
Years","2 Years to 3
Years","More than 3
Years",Total,
"MSME
Others
Disputed Dues - MSME
Disputed Dues - Others","594.35
2,757.46
-","23.81
54,136.59
-","-
519.42
-","76.91
-","6.04
-","23.16
8.81","618.16
57,519.58
-
8.81",
Total,"3,351.81","54,160.40",519.42,76.91,6.04,31.97,"58,146.55",
,,,,,,,,
Particulars,"As at March 31, 2024",,,,,,,
,Outstanding for following periods from due date of payment,,,,,,,
,Unbilled,Not Due,"Less than 1
Year","1 Year to 2
Years","2 Years to 3
Years","More than 3
Years",Total,
"MSME
Others
Disputed Dues - MSME
Disputed Dues - Others","409.89
2,495.25
-
-","81.85
68,977.15
-
-","-
58.83
-
-","-
1.25
-
-","-
0.99
-
-","-
1.96
-
8.81","491.74
71,535.43
-
8.81",
Total,"2,905.14","69,059.00",58.83,1.25,0.99,10.77,"72,035.98",
