Particulars,"Y e a r e n d e d M a r c h 31,
2025","Year ended March 31,
2024"
Dividend income from:,,
"Investment in Shell MRPL Aviation Fuels and Services
Limited (measured at cost)",225.00,135.00
Other non-operating income,,
Royalty income,33.32,24.82
Excess Liability written back,238.71,940.32
Tender form sale,1.78,9.38
Hire charges,12.92,8.71
Recoveries from employees,13.07,13.78
Amortisation of Deferred Government Grant,691.25,466.74
"Gain on fair valuation of financial instruments
[refer note 11.2.2]",,
,20.69,11.07
Passthrough Gain Alternate Investment Funds (AIF),0.20,-
Miscellaneous receipts,263.10,166.82
Total,"1,275.04","1,641.64"
Grand Total,"1,757.09","1,926.08"
