Particulars,"Year ended March 31, 2025",col,"Year ended March 31, 2024",col_2
"Power, Utility and Fuel [refer note 36.1 below]","84,170.31",,"77,033.98",
Less : Consumption of Fuel from own production,"7 7 ,469.17","6,701.14","7 2 ,122.81","4,911.17"
Repairs and maintenance,,,,
- Plant and Machinery,"5,114.82",,"5,462.80",
- Buildings,45.90,,1.44,
- Others,927.23,"6,087.95",832.48,"6,296.72"
Consumption of Chemicals,,"2,563.83",,"2,472.57"
Consumption of Packing materials,,308.71,,277.25
Rent [refer note 36.3 below],,65.52,,72.51
Insurance,,754.30,,744.30
Rates and Taxes,,"1,105.29",,828.34
Exchange Rate Fluctuation loss/ (gain) (Net),,"2,035.97",,"1,325.94"
Director's sitting fees,,2.54,,4.26
"Loss on discard / disposal of Property, Plant and
Equipment [net]",,61.53,,"1,433.49"
Bank charges,,74.13,,54.22
Payment to auditors,,,,
Audit fees,3.93,,3.48,
For taxation matters,0.86,,0.92,
For certification fees,2.87,,2.83,
Reimbursement of expenses,3.92,11.58,2.81,10.04
"Corporate Social Responsibility Expenses (CSR)
[refer note 36.2 below]",,828.52,,353.60
Impairment (net) for:,,,,
Doubtful Trade Receivables,0.21,,(25.23),
Doubtful Deposits,2.13,,-,
Doubtful Advances,1.54,,-,
"Property Plant and Equipment's / Capital Work in Progress /
Non Current Asset Held for Sale / Intangible Assets",0.42,,0.01,
Stores,2.44,6.74,(67.67),(92.89)
Write Offs:,,,,
Claims/ Advances / Assets/ Others [refer note 36.4 below],0.19,0.19,27.47,27.47
Miscellaneous expenses,,"4,053.29",,"3,346.26"
Total,,"24,661.23",,"22,065.25"
