"Sl.
no",Particulars,"Opening
balance as at
01/04/2023","Financing cash
Flows","Non-cash
changes","Closing
balance as at
31/03/2024"
I,Borrowing - Long Term,,,,
,1 External commercial borrowing (ECB),"4,232.44","(4,233.89)",1.45,-
,2 Loan from Oil Industry Development Board (OIDB),"2,439.38","(1,485.63)",-,953.75
,3 Interest Free Loan from Government of Karnataka,820.62,-,93.65,914.27
,4 Working capital term loan from banks (ECB),"44,876.98",-,770.02,"45,647.00"
,5 Non-Convertible Debentures,"49,755.24","(5,000.00)",2.82,"44,758.06"
,"6 Deferred Payment Liability From Government of
Karnataka","1,099.27","1,858.12",(553.32),"2,404.07"
,7 Foreign Currency Term Loan (FCNR),"34,502.40","(28,416.10)",100.77,"6,187.07"
,8 Rupee Term Loan,"12,211.22","(12,214.07)",2.85,-
,Total Long Term Borrowings,"1,49,937.55","(49,491.57)",418.24,"1,00,864.22"
II,Borrowing - Short Term,,,,
,1 Working capital loan from banks,180.26,"4,341.62",-,"4,521.88"
,2 Other Working Capital Loan,"16,955.86","2,175.47",-,"19,131.33"
,Total Short Term Borrowings,"17,136.12","6,517.09",-,"23,653.21"
III,Lease Liability,"2,316.70",(274.65),310.79,"2,352.84"
,Total Lease Liabilities,"2,316.70",(274.65),310.79,"2,352.84"
,,,,,
Total,,"1,69,390.37","(43,249.13)",729.03,"1,26,870.27"
