col,2024-25,2023-24,2022-23
What We Owe,,,
Equity Share Capital,205.04,210.13,213.27
Other Equity,"1,308.04","1,378.59",983.45
Net Worth,"1,513.08","1,588.72","1,196.72"
Borrowings,"1,505.21","1,492.83","2,033.03"
Deferred Tax Liability/(Asset) (Net),(27.61),(34.11),(151.27)
TOTAL,"2,990.68","3,047.44","3,078.48"
"What We Own
PPE, ROU assets, Intanglibles and Goodwill (Including Capital
WIP and Intangible Assets Under Development) excluding
Investment Property","3,671.01","3,651.85","3,549.98"
Less : Depreciation and Amortisation,"1,235.76","1,116.66","1,011.31"
Net Carrying Amount,"2,435.25","2,535.19","2,538.67"
Investments,2.27,2.07,1.96
Current and Non Current Assets/ (Liability) (Net),553.16,510.18,537.85
TOTAL,"2,990.68","3,047.44","3,078.48"
Income,,,
Sales (Net Of Excise Duty on Sales),"11,215.62","10,907.17","13,531.36"
Other Income,25.28,27.33,32.60
"Changes in inventories of finished goods, stock-in-process,
stock-in-trade & Scrap",49.10,129.91,(159.22)
TOTAL,"11,290.00","11,064.41","13,404.74"
Expenditure,,,
Cost of Materials Consumed,"10,597.99","9,758.49","12,110.88"
Purchase of Stock-in-trade,1.24,0.58,0.66
Excise Duty on Stocks (net),24.47,(8.77),(21.13)
Employee Benefits Expense,82.80,93.26,86.78
Exchange Fluctuation (net) : Loss/ (Income),24.07,16.02,166.34
Other Expenses,267.53,251.51,226.64
Finance Costs,119.22,134.54,159.84
Depreciation & Amortisation expense,159.28,151.86,147.58
TOTAL,"11,276.60","10,397.49","12,877.59"
Profit Before Tax,13.40,666.92,527.15
Tax Expense,7.41,232.57,199.04
Profit After Tax,5.99,434.35,328.11
Total Comprehensive Income,3.73,433.74,327.99
Dividend (Refer Note below),-,63.51,-
Dividend Distribution Tax,,,
