"Standalone net profits of the related party for each
of the last three financial years:
FY 2024-25
FY 2023-24
FY 2022-23",col,col_2,col_3,col_4,col_5
,,,₹ 53.62 Crores,No Comment,
,,,₹ 30.80 Crores,No Comment,
,,,₹ 75.22 Crores,No Comment,
4). Details of previous transactions with the related p,,,arty - SMAFSL,,
". Total amount of all the transactions undertaken by
the listed entity or subsidiary with the related
party during each of the last three financial years.
Note: Details need to be disclosed separately for
listed entity and its subsidiary.",,,,No Comment,
FY 2024-25,,,,,
"S. No.
1
2
3",Nature of Transactions,"Amount
(in INR
Crores)",,No Comment,
,ATF Sales,"2,328.05",,,
,Royalty received,3.93,,,
,Dividend received,22.50,,,
,Total,"2,354.48",,,
FY 2023-24,,,,,
"S. No.
1
2
3
4",Nature of Transactions,"Amount
(in INR
Crores)",,No Comment,
,ATF Sales,"1,965.62",,,
,Royalty received,2.93,,,
,Dividend received,13.50,,,
,Purchase of product,0.05,,,
,Total,"1,982.10",,,
FY 2022-23,,,,,
"S. No.
1
2
3
4",Nature of Transactions,"Amount
(in INR
Crores)",,No Comment,
,ATF Sales,"1,425.81",,,
,"Royalty received
and reimbursements",1.64,,,
,Dividend received,21.75,,,
,Purchase of product,0.01,,,
,Total,"1,449.21",,,
". Total amount of all the transactions undertaken by
the listed entity or subsidiary with the related
party during the current financial year (till the
date of approval of the Audit Committee /
shareholders).",,,"During the current financial year 2025-26
upto Q1 the transactions undertaken
was ₹629.14 crores (ATF sales- ₹ 628.16
crores and Royalty received ₹0.98 crores)",No Comment,
". Whether prior approval of Audit Committee has
been taken for the above mentioned transactions",,,Yes,No Comment,
