"Sl.
No.",Particulars of the information,"Information provided by
the management","Comments of the
Audit Committee",col
A. D,etails of the related party and transactions with th,e related party,,
A(1).,Basic details of the related party,,,
1.,Name of the related party,"Shell MRPL Aviation Fuels & Services
Limited (SMAFSL)",No Comment,
2.,Country of incorporation of the related party,India,No Comment,
3.,Nature of business of the related party,"Primarily focuses on the marketing and
distribution of Aviation Turbine Fuel (ATF)
to airlines.",No Comment,
A(2).,Relationship and ownership of the related party,,,
4.,"Relationship between the listed entity/subsidiary
(in case of transaction involving the subsidiary)
and the related party.","Shell MRPL Aviation Fuels & Services
Limited is a 50:50 Joint Venture Company
formed in 2008 between Shell Gas BV, a
global leader in marketing aviation fuel and
operating airport fuelling facilities, and
Mangalore Refinery and Petrochemicals
Limited (MRPL), a subsidiary of Oil and
Natural Gas Corporation Limited",No Comment,
5.,"Shareholding or contribution % or profit & loss
sharing % of the listed entity/ subsidiary (in case
of transaction involving the subsidiary), whether
direct or indirect, in the related party.",50 % Shareholding,No Comment,
,"Explanation: Indirect shareholding shall mean
shareholding held through any person, over which
the listed entity or subsidiary has control.",Nil,Not Applicable,
6.,"Shareholding of the related party, whether direct
or indirect, in the listed entity/subsidiary (in case
of transaction involving the subsidiary).",Nil,Not Applicable,
,"Explanation: Indirect shareholding shall mean
shareholding held through any person, over which
the related party has control. While calculating
indirect shareholding, shareholding held by
relatives shall also be considered.",,,
A(3).,Financial performance of the related party - SMA,FSL,,
7.,"Standalone turnover of the related party for each
of the last three financial years:",,,
,FY 2024-25,"₹ 2,549.95 Crores",No Comment,
,FY 2023-24,"₹ 2,087.46 Crores",No Comment,
,FY 2022-23,"₹ 1,619.56 Crores",No Comment,
8.,"Standalone net worth of the related party for each
of the last three financial years:",,No Comment,
,FY 2024-25,₹ 101.99 Crores,No Comment,
,FY 2023-24,₹ 94.94 Crores,No Comment,
,FY 2022-23,₹ 91.07 Crores,No Comment,
