Schemes Description,"Energy Savings
MTOE/Annum"
Crude Distillation Unit-2 Hot Light Naphtha routing to Isomerization Unit,1044
Hot Lean Amine routing to Diesel Hydro-treating Unit (DHDT),1573
"Light Reformate (LR) Processing in FCC (Fluid catalytic cracking) gasoline
Treatment Unit (FGTU) instead of Isomerization Unit",616
Hot Feed Maximization in Delayed Coker Unit,5840
Stoppage of Cooling Tower-1 Turbo Drive pump,5840
Maximization of Grid power import,11425
"Optimization of Captive Power Plant-1/2/3 machines and maximization of
Gas Turbine-2 load",7441
High Pressure (HP) Desalination Pump impeller trimming,119
Phase-3 Utility Boiler (UB) rotary air pre-heater (RAPH) air leak arresting,118
Gas Turbine-1 heat rate improvement with Natural Gas,4570
Gas Booster Compressor’s performance optimization in Captive Power Plant-3,139
,38725
