Name,Board,"Audit
Committee","CSR/SD
Committee","Nomination,
Remuneration
Committee","Stakeholders
Relationship
Committee","Project
Appraisal and
Review
Committee
and Operations
Review
Committee","Risk
Management
Committee"
Shri Arun Kumar Singh,,-,-,-,-,-,-
"Shri Mundkur
Shyamprasad Kamath",,-,,-,-,-,
"Shri Nandakumar
Velayudhan Pillai",,-,,-,-,-,
Shri Devendra Kumar,,-,-,-,,-,
Shri Pankaj Kumar,,,-,-,-,-,-
Shri S. Bharathan,,-,-,,-,,-
"Shri Dheeraj Kumar
Ojha",,-,-,-,-,,-
Shri Rajinder Kumar,,,-,-,-,-,-
Shri Rajkumar Sharma,,,-,,-,,-
"Shri Manohar Singh
Verma",,,-,,-,,
"Shri Pankaj Gupta
Smt. Nivedida
Subramanian",,,,,,"-
-","-
-"
"Executive Director
(Projects)",-,-,-,-,-,-,
"Executive Director
(Refinery)",-,-,-,-,-,-,
