Members of Nomination & Remuneration Committee,"No. of Meetings
Entitled to Attend","No. of Meetings
Attended"
Shri Rajkumar Sharma (from 28/03/2025),0,NA
Shri Rajkumar Sharma (till 07/11/2024),4,4
Shri Manohar Singh Verma (from 28/03/2025),0,NA
Shri Manohar Singh Verma (till 07/11/2024),4,4
Shri Pankaj Gupta (from 28/03/2025),0,NA
Shri Pankaj Gupta (till 07/11/2024),4,4
Smt. Nivedida Subramanian (from 28/03/2025),0,NA
Shri S. Bharathan,4,4
Shri Pankaj Kumar (from 17/12/2024 till 28/03/2025),0,NA
Shri Rajinder Kumar (from 17/12/2024 till 28/03/2025),0,NA
Shri Rajinder Kumar (from 09/03/2024 till 03/04/2024),0,NA
Shri Dheeraj Kumar Ojha (from 17/12/2024 till 28/03/2025),0,NA
