Nature of Correspondence,"For the year
ended 31/03/2025"
Revalidation of Dividend Warrants.,"1,600"
Demat - Remat Cases – Letters.,479
Stop Transfer - Procedure for Duplicate / Removal*,"25,035"
"Name Deletion/Transmission /Transposition /Change of Name/Issue of
Duplicate - Share Certificates.","3,196"
Consolidation /Change of Status Certificates.,77
Change of Signature Letters.,302
Correction/ Registration / Change of Address/Bank Detail/Bank Mandate.,3593
Registration / Cancellation of NACH Letters.,0
Nomination Letters.,298
"References through Statutory/ Regulatory bodies like ROC/ SEBI/ NSE/
BSE/ NSDL/ CDSL.",105
Others.,"8,584"
,"43,269"
