Members of Risk Management Committee,Category
Shri Mundkur Shyamprasad Kamath,Chairperson
Shri Devendra Kumar (from 25/03/2025),Member
Shri Manohar Singh Verma (from 28/03/2025),Member
Shri Manohar Singh Verma (till 07/11/2024),Member
Shri Nandakumar Velayudhan Pillai (from 08/08/2024),Member
Shri BHV Prasad,Member
Shri B Sudarshan (from 09/05/2024),Member
Shri Pankaj Gupta (from 04/07/2024 till 07/11/2024),Member
Shri Vivek Chandrakant Tongaonkar (till 02/07/2024),Member
Shri Sanjay Varma (till 30/06/2024),Member
