Month,BSE Limited,col,National Stock Exchange of India Limited,col_2
,High(₹),Low(₹),High(₹),L ow(₹)
"April, 2024",260.00,209.05,259.90,209.10
"May, 2024",258.75,199.35,258.60,199.50
"June, 2024",230.00,170.10,230.00,170.10
"July, 2024",253.55,198.95,253.56,198.50
"August, 2024",223.20,197.70,223.38,197.88
"September, 2024",210.50,174.65,210.35,174.60
"October, 2024",186.65,141.25,186.45,141.37
"November, 2024",172.50,144.05,172.50,144.05
"December, 2024",160.70,140.10,160.80,140.02
"January, 2025",154.55,120.50,154.50,120.60
"February, 2025",132.30,105.00,132.33,105.18
"March, 2025",147.55,98.95,147.65,98.92
